tag,ROC-AUC,PR-AUC
guitar,0.8511865746020061,0.7203438576667931
classical,0.9054623943922837,0.5917690123701878
slow,0.7716602450410781,0.32317651859594315
techno,0.9080010898192715,0.6139610469389477
strings,0.8369026091449238,0.4275544059558342
drums,0.8146112988894253,0.3488592954978292
electronic,0.7899486311480249,0.2554600776931843
rock,0.9075823191219294,0.702890387882333
fast,0.8374516281264748,0.39106035798411376
piano,0.8740945133119836,0.4998552284541867
ambient,0.7898412390258633,0.24408565652354774
beat,0.8271618979918252,0.3240669207374683
violin,0.9550984286652464,0.6109998749495157
vocal,0.8005014326647565,0.1255339977207985
synth,0.7868641504403908,0.1871838879956549
female,0.8478192780518362,0.16198319791606486
indian,0.8677532338308458,0.3708498277371263
opera,0.9710197183098591,0.47692932053204595
male,0.8789047830391589,0.27954649688928956
singing,0.8424036281179139,0.1489963873155907
vocals,0.7774114774114774,0.10922039301766145
no vocals,0.5798717295276928,0.052145578221596156
harpsichord,0.8015421634036968,0.06447196133467513
loud,0.8498895238095239,0.24498840295724683
quiet,0.8624861450948407,0.14638022280510174
flute,0.8151868416550578,0.1183783573091898
woman,0.8468174846625767,0.08848245375582099
male vocal,0.8957926177218924,0.24147828153898812
no vocal,0.6280572973936818,0.07116481572898185
pop,0.8053107344632768,0.10310725063585258
soft,0.7530796102224674,0.1355306745371826
sitar,0.9072683749523965,0.47906273407395483
solo,0.8261759840686078,0.17024028641182512
man,0.8751719266941749,0.1859523404162071
classic,0.868893557422969,0.14090765772634037
choir,0.9207162534435261,0.15803577309224429
voice,0.6841577464788733,0.05113218070180864
new age,0.6572608756274401,0.04420550703599415
dance,0.931504217517794,0.33005461955969656
male voice,0.8708971821003494,0.14045933755657747
female vocal,0.841208487812574,0.030849672225607503
beats,0.7971410736579276,0.1425881443367491
harp,0.89871699318569,0.1758274814455246
cello,0.978598807495741,0.6651631108404725
no voice,0.5206065826220865,0.03626193836541481
weird,0.6614987080103358,0.05117538664400599
country,0.8700839861099895,0.17379776248850007
metal,0.9269088399523182,0.3115213195170699
female voice,0.7583609729132118,0.030673327766616725
choral,0.9663373582144164,0.0550365274889351
