tag,ROC-AUC,PR-AUC
guitar,0.8881336553800661,0.7611736756675753
classical,0.9223477562960958,0.6306287759626682
slow,0.8087349397590361,0.36017291572424137
techno,0.9401759856305311,0.7339585339768342
strings,0.8708524928958926,0.4565402391405547
drums,0.850091743119266,0.36839897353607437
electronic,0.8555833284129453,0.3456027919058554
rock,0.9666483557508719,0.7999479718559128
fast,0.8916501494415604,0.48934765854055884
piano,0.8733677605379151,0.4583703911597324
ambient,0.8589756034426972,0.25790811102674877
beat,0.8881108939043896,0.4035595660720501
violin,0.9618298601656229,0.6320733863626464
vocal,0.8633667621776504,0.19402072622332164
synth,0.8429921970326165,0.23584328207708635
female,0.9571685850755618,0.39130528109732327
indian,0.8968756218905471,0.4940187032999435
opera,0.9864676056338029,0.5697461940081766
male,0.917961148475641,0.3160970814109865
singing,0.9115181591762387,0.2184394554448246
vocals,0.8949938949938949,0.23608363061661014
no vocals,0.6445520443991392,0.0683092546704781
harpsichord,0.8956715520069999,0.13807078736237743
loud,0.9178019047619047,0.3415980274156632
quiet,0.9043854696028609,0.23228665564967885
flute,0.8876017303321357,0.2897031693913027
woman,0.9473473229224763,0.22528288149731954
male vocal,0.9317329793379796,0.3362083967446758
no vocal,0.5973728788374096,0.054480581279089675
pop,0.8554596815613764,0.14146330751653505
soft,0.7986647361647361,0.0899754118101057
sitar,0.9332424009264224,0.6399044999922572
solo,0.823172788154239,0.12527312232258242
man,0.906369651685811,0.21280861333784973
classic,0.8979411764705882,0.1911018163521258
choir,0.9676584022038568,0.6885828815846656
voice,0.8157859154929578,0.08985073231239574
new age,0.7899818739542666,0.04947370367681752
dance,0.9488225714965326,0.37136579564404903
male voice,0.9206808905833761,0.1827687990955169
female vocal,0.911019957403171,0.08046899395961127
beats,0.879338327091136,0.13725909709073897
harp,0.9095684270300965,0.16416276565670831
cello,0.9914554940374787,0.786191142681543
no voice,0.6408399237856602,0.0639178767828129
weird,0.746234959413254,0.06911684498120724
country,0.92096018735363,0.4637144789930355
metal,0.9689963820398603,0.41521200273479325
female voice,0.9278261470425649,0.0925444943709513
choral,0.9946944749359679,0.18333333333333335
