tag,ROC-AUC,PR-AUC
guitar,0.8499803958540972,0.7207229983485404
classical,0.914131844021143,0.584849778477854
slow,0.7531088822294252,0.321136392128193
techno,0.8848626121353393,0.5611753572012576
strings,0.8060087832601395,0.36847951470524726
drums,0.7204088202156768,0.2028480285688234
electronic,0.7661437934224252,0.2175935051887657
rock,0.8342017685144691,0.4969497669116956
fast,0.7895516753185465,0.3107876199704235
piano,0.7749193481677558,0.13786171681703308
ambient,0.8056903729588645,0.27541087831486244
beat,0.7730869024346899,0.27962546472082017
violin,0.9233714020278389,0.48483203197464975
vocal,0.6814040114613181,0.08412649471647668
synth,0.7171142350323501,0.11759009138552376
female,0.7792916242528645,0.10674944112711328
indian,0.7946865671641791,0.23041226698377704
opera,0.9463661971830986,0.24610142839554502
male,0.8022714599478793,0.20623922374981926
singing,0.7633266421322628,0.09106266568915221
vocals,0.6920634920634922,0.07408037938358868
no vocals,0.5298731453165704,0.05183223952640704
harpsichord,0.854137044733676,0.14058720670339692
loud,0.6899504761904762,0.1040603859252944
quiet,0.7956375347679696,0.11984395545757492
flute,0.7396803284698292,0.07033053644423568
woman,0.7826268823201339,0.050863726016631264
male vocal,0.7783165554285434,0.14885243202277937
no vocal,0.5646304496418912,0.05375821133642843
pop,0.6076527991782229,0.03989760483306168
soft,0.8048929031071888,0.111207248247532
sitar,0.8291481110152565,0.24019258541106994
solo,0.8198162750734741,0.14902850944055152
man,0.813575703505446,0.12688300127203703
classic,0.8991736694677871,0.1507334182320812
choir,0.9391184573002754,0.4596157397445926
voice,0.5848901408450704,0.03140986022042558
new age,0.6963015895147797,0.034528967605893
dance,0.8098183082355955,0.13386949239457316
male voice,0.7328249871691472,0.06211590034417677
female vocal,0.6995345902027295,0.01815802533958097
beats,0.7507116104868914,0.06417164387167369
harp,0.8761002271436684,0.15164674131169642
cello,0.8919647927314026,0.3716053120014668
no voice,0.4938010596925326,0.027973143526461734
weird,0.6057865476470128,0.07592757142966396
country,0.8371154001453605,0.14561250001579784
metal,0.7837380011293055,0.11428273359566317
female voice,0.6450041459369817,0.016144514840535324
choral,0.9919502378338821,0.25
