tag,ROC-AUC,PR-AUC
guitar,0.8021380491031478,0.6668591812787943
classical,0.8382082662525466,0.5519869163848635
slow,0.5746832507695758,0.20048549604951205
techno,0.8623636464545554,0.6045941351136201
strings,0.6497675019374839,0.27308115272176625
drums,0.5531643328504748,0.1630680439683684
electronic,0.6010024470730251,0.17532059400464883
rock,0.8985144158462309,0.738797007462773
fast,0.614882806355199,0.2462220692769903
piano,0.701712300438415,0.30708042138168795
ambient,0.5928595310511443,0.11971648266563399
beat,0.5205829038564067,0.12175965363314276
violin,0.928278819817078,0.637756780082924
vocal,0.50625,0.055787671232876715
synth,0.5043859649122807,0.07068973804373949
female,0.6916190327043039,0.2019178188276627
indian,0.601389054726368,0.20385643955582547
opera,0.8816957746478874,0.46069266967554634
male,0.5405898285024978,0.08597290971182994
singing,0.5,0.033424657534246574
vocals,0.5,0.038356164383561646
no vocals,0.5,0.04438356164383562
harpsichord,0.5330033905720223,0.03962273081634926
loud,0.5830552380952381,0.1509378590176758
quiet,0.5162599075642554,0.03590055809233891
flute,0.6046325488183396,0.11755211435378202
woman,0.5128712353597323,0.023236301369863016
male vocal,0.5289956610986147,0.0788042844651705
no vocal,0.5,0.04219178082191781
pop,0.509090909090909,0.04777085927770859
soft,0.5,0.02684931506849315
sitar,0.7025558223942426,0.3924041418228434
solo,0.5,0.03890410958904109
man,0.527401397717557,0.04492149268177154
classic,0.5,0.021917808219178082
choir,0.8982920110192837,0.581534486902187
voice,0.5,0.0273972602739726
new age,0.5,0.017534246575342465
dance,0.5539631859184307,0.09204494841094488
male voice,0.5,0.025205479452054796
female vocal,0.5,0.007671232876712329
beats,0.5,0.024657534246575342
harp,0.5,0.03506849315068493
cello,0.9571310689948893,0.7663550780048783
no voice,0.5,0.023561643835616437
weird,0.5,0.023561643835616437
country,0.6061334087054833,0.21160958904109586
metal,0.6597287575548444,0.19073990619981007
female voice,0.5,0.008767123287671232
choral,0.8288510793999267,0.08516332982086407
