tag,ROC-AUC,PR-AUC
guitar,0.8516355245081753,0.7269505523742098
classical,0.9152098856895905,0.604364276151946
slow,0.778070403441176,0.3287358976162689
techno,0.9055590873772691,0.6149595511414725
strings,0.8473934383880134,0.4353041726800468
drums,0.7953130532753903,0.3308095501959476
electronic,0.7926286025441687,0.2585914019216526
rock,0.882625251997312,0.6569204483386311
fast,0.8373478055686645,0.4276101469714972
piano,0.8653675714640228,0.48544788544937645
ambient,0.8058575465389676,0.2725569405052199
beat,0.82809667673716,0.3356779212950048
violin,0.9555749547500441,0.6329827218683227
vocal,0.7656303724928367,0.11296817858411695
synth,0.7778615152726938,0.1710575758773938
female,0.8324459060893168,0.11112546674156601
indian,0.8806089552238806,0.4012948193729922
opera,0.9618478873239436,0.44965896709564396
male,0.8558999920339582,0.25107118635435055
singing,0.8390394409129772,0.18533143083841003
vocals,0.7532926332926333,0.09020871928241625
no vocals,0.5740032846301959,0.05035696761594291
harpsichord,0.8242097779722192,0.10278985257825099
loud,0.8017523809523809,0.18260980661861057
quiet,0.878871531045444,0.23747586831857848
flute,0.8541681941491311,0.15871465816885189
woman,0.8228701896263246,0.07059183753545553
male vocal,0.8658382192067062,0.23067912321458683
no vocal,0.6222101696930071,0.06198058562735715
pop,0.7870878274268105,0.1005331616934712
soft,0.769879573451002,0.1042866129164348
sitar,0.9101984191750798,0.4510374821182194
solo,0.8267942891098012,0.16619665622831648
man,0.8659436452176499,0.19817681885451488
classic,0.8938935574229692,0.14590916045499022
choir,0.9215426997245179,0.2634673865335213
voice,0.6780732394366197,0.045037144634749574
new age,0.6744457612939208,0.03754016569950105
dance,0.937588055550473,0.30916044599595405
male voice,0.857333137815578,0.13017860875329093
female vocal,0.8300859824879703,0.0406114581512934
beats,0.7859051186017478,0.11190302598197298
harp,0.8974659284497445,0.16707613214010048
cello,0.9805330777967065,0.6891168276785703
no voice,0.5047633962362645,0.027663425936734203
weird,0.6570615717902539,0.06889796472260151
country,0.8473108293628362,0.16422226769349757
metal,0.9009661835748793,0.30200944374448424
female voice,0.7394278606965174,0.03342101695302495
choral,0.9829857299670691,0.10326212949163768
