tag,ROC-AUC,PR-AUC
guitar,0.7799067979994793,0.6247979859907984
classical,0.7468299876048954,0.40871411091849585
slow,0.5558439341120829,0.1737965519186687
techno,0.6520613225158679,0.3195061967289513
strings,0.5064156548695428,0.1386697144611269
drums,0.501405118300338,0.10487743330930066
electronic,0.5132932485714474,0.10761525728162935
rock,0.6429891414491579,0.32504186912432903
fast,0.5070772376907345,0.11392342817000352
piano,0.6028827860038051,0.08394905620234427
ambient,0.5159192389827217,0.0734867762036712
beat,0.5,0.09315068493150686
violin,0.6560602905607791,0.22906695801497345
vocal,0.5,0.043835616438356165
synth,0.5043859649122807,0.07068973804373949
female,0.499719416386083,0.023561643835616437
indian,0.5390587064676617,0.10229420641860164
opera,0.49915492957746477,0.0273972602739726
male,0.5636515198069941,0.10023586194872086
singing,0.5,0.033424657534246574
vocals,0.5,0.038356164383561646
no vocals,0.5,0.04438356164383562
harpsichord,0.5329076889423603,0.033525169840739506
loud,0.5,0.0410958904109589
quiet,0.5,0.02958904109589041
flute,0.5138206613388078,0.034979154258487195
woman,0.5,0.017534246575342465
male vocal,0.5060382019985987,0.054252566469121404
no vocal,0.5,0.04219178082191781
pop,0.5,0.030136986301369864
soft,0.5,0.02684931506849315
sitar,0.5162745692368673,0.08877606411852988
solo,0.5,0.03890410958904109
man,0.5050741608118657,0.034925892656635975
classic,0.5,0.021917808219178082
choir,0.6,0.20438356164383562
voice,0.5,0.0273972602739726
new age,0.5,0.017534246575342465
dance,0.5,0.03397260273972603
male voice,0.5,0.025205479452054796
female vocal,0.5,0.007671232876712329
beats,0.5,0.024657534246575342
harp,0.5,0.03506849315068493
cello,0.4997160704145372,0.03506849315068493
no voice,0.5,0.023561643835616437
weird,0.5,0.023561643835616437
country,0.5418012597916498,0.057707110241356815
metal,0.5089769328899765,0.038300355149670215
female voice,0.5,0.008767123287671232
choral,0.5,0.0016438356164383563
