tag,ROC-AUC,PR-AUC
guitar,0.7755744314049439,0.6169210113275042
classical,0.7355402318501949,0.3962460079859605
slow,0.5443805679571075,0.16439332421260133
techno,0.6455463728191001,0.3077767617683678
strings,0.5070395246706277,0.13830957040350386
drums,0.5017109286978916,0.10487743330930066
electronic,0.5138968161808602,0.10836737177147175
rock,0.636947872556026,0.31902361977158683
fast,0.5073808400188768,0.11674394099051634
piano,0.5779811635134656,0.07605408894051499
ambient,0.5167658922755021,0.07272704211060377
beat,0.5,0.09315068493150686
violin,0.6376439589306594,0.2151922585614863
vocal,0.5,0.043835616438356165
synth,0.5043859649122807,0.07068973804373949
female,0.5,0.023561643835616437
indian,0.5333194029850747,0.09727491150416674
opera,0.49915492957746477,0.0273972602739726
male,0.5397021838334869,0.08165900466263078
singing,0.5,0.033424657534246574
vocals,0.5,0.038356164383561646
no vocals,0.5,0.04438356164383562
harpsichord,0.5335160778737832,0.0373724404563028
loud,0.5,0.0410958904109589
quiet,0.5,0.02958904109589041
flute,0.5154703424004692,0.04980128864583897
woman,0.5,0.017534246575342465
male vocal,0.5027379328146319,0.05361847857767415
no vocal,0.5,0.04219178082191781
pop,0.5,0.030136986301369864
soft,0.5,0.02684931506849315
sitar,0.5098529537488244,0.08724763340480718
solo,0.5,0.03890410958904109
man,0.4971655328798186,0.033424657534246574
classic,0.5,0.021917808219178082
choir,0.55,0.10493150684931507
voice,0.5,0.0273972602739726
new age,0.5,0.017534246575342465
dance,0.5,0.03397260273972603
male voice,0.5,0.025205479452054796
female vocal,0.5,0.007671232876712329
beats,0.5,0.024657534246575342
harp,0.5,0.03506849315068493
cello,0.4997160704145372,0.03506849315068493
no voice,0.5,0.023561643835616437
weird,0.5,0.023561643835616437
country,0.533427885003634,0.05081457925636007
metal,0.5,0.02958904109589041
female voice,0.5,0.008767123287671232
choral,0.5,0.0016438356164383563
