tag,ROC-AUC,PR-AUC
guitar,0.8511805886032568,0.7173294555706538
classical,0.9148703263094407,0.5840080854249428
slow,0.7515952133406723,0.31786695153218425
techno,0.8850492941402034,0.5596721356080598
strings,0.807641436321364,0.37936784522207573
drums,0.7230323515210043,0.20319905678647734
electronic,0.7640444278244668,0.21843427857657385
rock,0.8366737421467504,0.4992656107990592
fast,0.7893660531697342,0.30931260235859603
piano,0.773483568297035,0.1368433413943647
ambient,0.8016566362518605,0.2667585323482491
beat,0.7749884485516261,0.2838010275407672
violin,0.9237197866444554,0.5069792719913957
vocal,0.6791189111747851,0.08169611559580396
synth,0.7162016672306131,0.11822701235831665
female,0.7814057891577271,0.11520019868309003
indian,0.795665671641791,0.23020429063387224
opera,0.9496338028169015,0.24661215468767841
male,0.8021121391098518,0.2054343701920484
singing,0.7649808557302703,0.09019349252064826
vocals,0.6901180301180301,0.07523678484230056
no vocals,0.5323153811303658,0.054952837241042704
harpsichord,0.8557776440993109,0.14343437627273672
loud,0.6866209523809523,0.10519840441122008
quiet,0.797268753790493,0.13093458499642974
flute,0.7245032627025442,0.06347027118553354
woman,0.7813022866703848,0.049789201903573325
male vocal,0.7786975920941038,0.1459953418555312
no vocal,0.5661386668251656,0.05296979019196086
pop,0.6028659476117103,0.03976692198838865
soft,0.7998598087883803,0.12357772277528295
sitar,0.829583343048334,0.23781691343097452
solo,0.8194549279714777,0.14290637337681
man,0.8036968885915022,0.12021876976648303
classic,0.9006582633053221,0.15682584333073107
choir,0.9334986225895316,0.45338263829440295
voice,0.5834478873239437,0.031298639073789714
new age,0.6884237311767987,0.03183763918722614
dance,0.809552998005599,0.13729689471932824
male voice,0.7340591930004644,0.06025458387890527
female vocal,0.7044647787331387,0.02000985917687685
beats,0.7520349563046193,0.06266973967972783
harp,0.8786378478137422,0.15273023580352754
cello,0.8984596819988643,0.4003275006273643
no voice,0.5009396288466056,0.03653460106826671
weird,0.6039464411557435,0.08152667378928269
country,0.8396390212387952,0.14375541706838177
metal,0.7888094192442019,0.116238505302993
female voice,0.6473880597014926,0.016699791215150223
choral,0.991035492133187,0.18504594820384293
