tag,ROC-AUC,PR-AUC
guitar,0.8076519022007524,0.656157501605701
classical,0.8240524393660925,0.5293880027993754
slow,0.5667887285181336,0.19665317649046277
techno,0.8629489197671016,0.6299516441826727
strings,0.64447300439163,0.2823662769476632
drums,0.5349090616449381,0.13684857560127928
electronic,0.5915946649871743,0.1603171574338167
rock,0.8739840108372178,0.7066350577456812
fast,0.6427292748151644,0.27921335098357025
piano,0.651155714167543,0.2269327778490117
ambient,0.6019030824651093,0.13265194200506225
beat,0.526996623422783,0.11859725656913687
violin,0.9281787092950619,0.6326792740029301
vocal,0.4991404011461318,0.043835616438356165
synth,0.5146318455402095,0.07656469941978233
female,0.7270312948607521,0.3003405832778244
indian,0.6973552238805971,0.3307981980959944
opera,0.8646422535211268,0.5017237217199428
male,0.5286578357402161,0.07928790998895753
singing,0.5,0.033424657534246574
vocals,0.5,0.038356164383561646
no vocals,0.5,0.04438356164383562
harpsichord,0.5472424258995954,0.06363440620707576
loud,0.6157219047619048,0.19598993063746417
quiet,0.5364723842984712,0.07677997632335531
flute,0.594661143290075,0.13932159165035876
woman,0.6073009620747352,0.1152611301369863
male vocal,0.5371449291394716,0.08731241296674115
no vocal,0.5,0.04219178082191781
pop,0.49915254237288137,0.030136986301369864
soft,0.5,0.02684931506849315
sitar,0.776963013049189,0.4805448809995698
solo,0.5,0.03890410958904109
man,0.5226060369502993,0.046534920278463954
classic,0.5,0.021917808219178082
choir,0.8984022038567494,0.5065937259087944
voice,0.5,0.0273972602739726
new age,0.5,0.017534246575342465
dance,0.5855991436883612,0.11627085832123393
male voice,0.5,0.025205479452054796
female vocal,0.5,0.007671232876712329
beats,0.5,0.024657534246575342
harp,0.5,0.03506849315068493
cello,0.9341416453719478,0.7390394441528816
no voice,0.5,0.023561643835616437
weird,0.5,0.023561643835616437
country,0.5443652588225792,0.10532615786040442
metal,0.6349258631867328,0.1674745884287689
female voice,0.5,0.008767123287671232
choral,0.8305890962312477,0.1338812785388128
