tag,ROC-AUC,PR-AUC
guitar,0.7933820294331558,0.6419870259202478
classical,0.8517110943310204,0.5232231133585941
slow,0.5854101685931544,0.20993806831014902
techno,0.6688664870483053,0.36234516151320706
strings,0.5628287264272798,0.1958922342848959
drums,0.5046579752132626,0.11354001441961067
electronic,0.5554380129504615,0.1580864744783964
rock,0.7003911958272445,0.4177302407303852
fast,0.5157983325467989,0.1218171174335558
piano,0.7998327877763728,0.26452122322429894
ambient,0.54710520071615,0.09588457141539333
beat,0.49960369646347963,0.09309293580445878
violin,0.8387379667152537,0.4116766953364125
vocal,0.5,0.043835616438356165
synth,0.516949152542373,0.08454297845069295
female,0.499719416386083,0.023561643835616437
indian,0.5015363184079602,0.0825962165688193
opera,0.6075211267605634,0.16370319634703195
male,0.5043272677614284,0.06514638732205211
singing,0.5,0.033424657534246574
vocals,0.5,0.038356164383561646
no vocals,0.5,0.04438356164383562
harpsichord,0.5399144153997595,0.03004229584988197
loud,0.4997142857142857,0.0410958904109589
quiet,0.5159932659932659,0.03775240994419077
flute,0.5468937116601901,0.03629137340508203
woman,0.5,0.017534246575342465
male vocal,0.5656489300244602,0.10788724915016126
no vocal,0.5,0.04219178082191781
pop,0.5,0.030136986301369864
soft,0.5,0.02684931506849315
sitar,0.5037461042847039,0.08544199270481923
solo,0.5,0.03890410958904109
man,0.5266625775993459,0.0479625950813914
classic,0.5,0.021917808219178082
choir,0.4994490358126722,0.005479452054794521
voice,0.5,0.0273972602739726
new age,0.5,0.017534246575342465
dance,0.5,0.03397260273972603
male voice,0.5,0.025205479452054796
female vocal,0.5,0.007671232876712329
beats,0.5,0.024657534246575342
harp,0.5,0.03506849315068493
cello,0.564629471890971,0.07455572362388507
no voice,0.5,0.023561643835616437
weird,0.5,0.023561643835616437
country,0.6370528143422434,0.17134108231350478
metal,0.5,0.02958904109589041
female voice,0.5,0.008767123287671232
choral,0.4997255762897914,0.0016438356164383563
