tag,ROC-AUC,PR-AUC
guitar,0.8471340534489828,0.7204461972139697
classical,0.9037764701971344,0.5773277241444836
slow,0.7695171549140726,0.31667830088583204
techno,0.908598976780795,0.623599791210885
strings,0.83518470679411,0.41183476396857754
drums,0.8081506518590054,0.33427652769277655
electronic,0.7905948421211465,0.2578816647046988
rock,0.8988464123049356,0.6768136557340324
fast,0.8343589743589745,0.40384063683778826
piano,0.8737990853550454,0.4667107745921293
ambient,0.7984911236221661,0.24480440558521066
beat,0.8327670161720278,0.3375136820144383
violin,0.9505694286492288,0.5933404822560645
vocal,0.7954154727793696,0.12558139400759918
synth,0.7902119413085608,0.182294490139793
female,0.8544358311800173,0.15582447362369892
indian,0.8706268656716417,0.3607285276250339
opera,0.9581295774647888,0.42303721937197064
male,0.8785975214229625,0.28280714308288757
singing,0.8480168023493551,0.14901417368175973
vocals,0.7857631257631257,0.10930919111914747
no vocals,0.5827811756710839,0.053519589166623
harpsichord,0.8008859236574428,0.07178771732319987
loud,0.8423542857142858,0.23767832097642555
quiet,0.8654976263671916,0.18068432348291158
flute,0.8201358848400421,0.11831236025422032
woman,0.8536496095928612,0.0956703240704212
male vocal,0.8872131469941125,0.24834440024711468
no vocal,0.6243053285387381,0.06794310305817344
pop,0.803965074473549,0.10661816918197475
soft,0.753792057363486,0.1151368020364477
sitar,0.9087761430669868,0.46035666668872044
solo,0.8272600253745964,0.1628056712395292
man,0.8755064867477046,0.19334038495710396
classic,0.8690196078431373,0.1220110671328298
choir,0.9183471074380165,0.23843304715777833
voice,0.6865577464788732,0.04508168475822108
new age,0.6727028722810932,0.054361491829359586
dance,0.9312023127733153,0.3216636569405286
male voice,0.8670234865703741,0.14957570449927915
female vocal,0.8406563066971682,0.028271712907418804
beats,0.8024094881398252,0.1289852889722684
harp,0.9017781090289607,0.18243651579524772
cello,0.9756796564452016,0.6171244240686674
no voice,0.5223031347062355,0.0491070994161394
weird,0.6504450186620729,0.053644434920614485
country,0.8509347492530082,0.14673938166667508
metal,0.9064454064454065,0.27837210956762076
female voice,0.7526257600884466,0.034434333056630066
choral,0.9718258324185877,0.05791881074899943
